DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
1977-05-19,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-20,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-21,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-22,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-23,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-24,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-25,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-26,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-27,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-28,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-29,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-30,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-05-31,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-01,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-02,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-03,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-04,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-05,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-06,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-07,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-08,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-09,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-10,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-11,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-12,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-13,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-14,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-15,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-16,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-17,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-18,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-19,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-20,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-21,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-22,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-23,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-24,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-25,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
1977-06-26,USC00300242,"ARIETTA, NY US",43.25,-74.51667,519.1,,
