DATE,STATION,LATITUDE,LONGITUDE,PRCP
2009-08-26,US1VTCH0006,44.427691,-73.150152,0.8
2009-08-27,US1VTCH0006,44.427691,-73.150152,2.0
2009-08-28,US1VTCH0006,44.427691,-73.150152,0.0
2009-08-29,US1VTCH0006,44.427691,-73.150152,5.8
2009-08-30,US1VTCH0006,44.427691,-73.150152,8.4
2009-08-31,US1VTCH0006,44.427691,-73.150152,3.3
2009-09-01,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-02,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-03,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-06,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-08,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-09,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-10,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-11,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-12,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-13,US1VTCH0006,44.427691,-73.150152,1.3
2009-09-14,US1VTCH0006,44.427691,-73.150152,2.0
2009-09-15,US1VTCH0006,44.427691,-73.150152,16.3
2009-09-16,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-17,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-18,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-19,US1VTCH0006,44.427691,-73.150152,4.6
2009-09-20,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-21,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-22,US1VTCH0006,44.427691,-73.150152,0.0
2009-09-23,US1VTCH0006,44.427691,-73.150152,1.0
2009-09-24,US1VTCH0006,44.427691,-73.150152,23.9
2009-10-09,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-10,US1VTCH0006,44.427691,-73.150152,5.8
2009-10-12,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-14,US1VTCH0006,44.427691,-73.150152,8.6
2009-10-18,US1VTCH0006,44.427691,-73.150152,1.3
2009-10-19,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-20,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-21,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-22,US1VTCH0006,44.427691,-73.150152,3.8
2009-10-23,US1VTCH0006,44.427691,-73.150152,5.3
2009-10-24,US1VTCH0006,44.427691,-73.150152,8.1
2009-10-25,US1VTCH0006,44.427691,-73.150152,11.7
2009-10-26,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-27,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-28,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-29,US1VTCH0006,44.427691,-73.150152,0.0
2009-10-30,US1VTCH0006,44.427691,-73.150152,5.6
2009-10-31,US1VTCH0006,44.427691,-73.150152,3.3
2009-11-01,US1VTCH0006,44.427691,-73.150152,5.6
2009-11-02,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-03,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-04,US1VTCH0006,44.427691,-73.150152,3.8
2009-11-05,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-06,US1VTCH0006,44.427691,-73.150152,5.1
2009-11-07,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-08,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-09,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-10,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-13,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-15,US1VTCH0006,44.427691,-73.150152,29.0
2009-11-16,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-17,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-18,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-19,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-20,US1VTCH0006,44.427691,-73.150152,8.6
2009-11-21,US1VTCH0006,44.427691,-73.150152,4.6
2009-11-22,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-23,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-24,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-25,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-29,US1VTCH0006,44.427691,-73.150152,0.0
2009-11-30,US1VTCH0006,44.427691,-73.150152,3.8
2009-12-01,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-02,US1VTCH0006,44.427691,-73.150152,0.8
2009-12-03,US1VTCH0006,44.427691,-73.150152,6.9
2009-12-04,US1VTCH0006,44.427691,-73.150152,11.7
2009-12-06,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-07,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-08,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-09,US1VTCH0006,44.427691,-73.150152,2.8
2009-12-11,US1VTCH0006,44.427691,-73.150152,0.8
2009-12-13,US1VTCH0006,44.427691,-73.150152,5.1
2009-12-14,US1VTCH0006,44.427691,-73.150152,0.8
2009-12-15,US1VTCH0006,44.427691,-73.150152,1.0
2009-12-16,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-17,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-18,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-19,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-20,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-21,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-24,US1VTCH0006,44.427691,-73.150152,0.8
2009-12-26,US1VTCH0006,44.427691,-73.150152,0.0
2009-12-28,US1VTCH0006,44.427691,-73.150152,18.8
2009-12-30,US1VTCH0006,44.427691,-73.150152,4.8
2009-12-31,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-01,US1VTCH0006,44.427691,-73.150152,2.0
2010-01-02,US1VTCH0006,44.427691,-73.150152,7.1
2010-01-03,US1VTCH0006,44.427691,-73.150152,8.6
2010-01-04,US1VTCH0006,44.427691,-73.150152,5.6
2010-01-05,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-06,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-07,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-08,US1VTCH0006,44.427691,-73.150152,0.5
2010-01-09,US1VTCH0006,44.427691,-73.150152,1.3
2010-01-10,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-11,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-12,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-13,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-14,US1VTCH0006,44.427691,-73.150152,0.8
2010-01-15,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-16,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-17,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-18,US1VTCH0006,44.427691,-73.150152,0.8
2010-01-19,US1VTCH0006,44.427691,-73.150152,2.3
2010-01-20,US1VTCH0006,44.427691,-73.150152,0.8
2010-01-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-22,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-23,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-24,US1VTCH0006,44.427691,-73.150152,0.0
2010-01-25,US1VTCH0006,44.427691,-73.150152,0.5
2010-01-26,US1VTCH0006,44.427691,-73.150152,20.8
2010-01-27,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-01,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-02,US1VTCH0006,44.427691,-73.150152,0.5
2010-02-03,US1VTCH0006,44.427691,-73.150152,0.3
2010-02-04,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-05,US1VTCH0006,44.427691,-73.150152,0.3
2010-02-06,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-07,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-08,US1VTCH0006,44.427691,-73.150152,0.3
2010-02-09,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-10,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-11,US1VTCH0006,44.427691,-73.150152,0.3
2010-02-12,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-13,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-14,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-15,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-16,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-17,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-18,US1VTCH0006,44.427691,-73.150152,0.3
2010-02-19,US1VTCH0006,44.427691,-73.150152,0.8
2010-02-20,US1VTCH0006,44.427691,-73.150152,0.5
2010-02-21,US1VTCH0006,44.427691,-73.150152,0.8
2010-02-22,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-23,US1VTCH0006,44.427691,-73.150152,0.0
2010-02-24,US1VTCH0006,44.427691,-73.150152,20.8
2010-02-25,US1VTCH0006,44.427691,-73.150152,31.8
2010-02-26,US1VTCH0006,44.427691,-73.150152,4.6
2010-02-27,US1VTCH0006,44.427691,-73.150152,8.6
2010-02-28,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-01,US1VTCH0006,44.427691,-73.150152,0.5
2010-03-02,US1VTCH0006,44.427691,-73.150152,0.5
2010-03-03,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-04,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-05,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-06,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-07,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-08,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-09,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-10,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-23,US1VTCH0006,44.427691,-73.150152,
2010-03-24,US1VTCH0006,44.427691,-73.150152,9.7
2010-03-25,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-26,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-28,US1VTCH0006,44.427691,-73.150152,0.0
2010-03-29,US1VTCH0006,44.427691,-73.150152,6.1
2010-03-30,US1VTCH0006,44.427691,-73.150152,7.9
2010-03-31,US1VTCH0006,44.427691,-73.150152,17.0
2010-04-01,US1VTCH0006,44.427691,-73.150152,0.3
2010-04-02,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-04,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-05,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-06,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-07,US1VTCH0006,44.427691,-73.150152,0.8
2010-04-08,US1VTCH0006,44.427691,-73.150152,6.4
2010-04-12,US1VTCH0006,44.427691,-73.150152,3.6
2010-04-13,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-14,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-16,US1VTCH0006,44.427691,-73.150152,7.4
2010-04-17,US1VTCH0006,44.427691,-73.150152,11.4
2010-04-18,US1VTCH0006,44.427691,-73.150152,6.6
2010-04-19,US1VTCH0006,44.427691,-73.150152,4.8
2010-04-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-26,US1VTCH0006,44.427691,-73.150152,0.0
2010-04-27,US1VTCH0006,44.427691,-73.150152,0.5
2010-04-29,US1VTCH0006,44.427691,-73.150152,
2010-04-30,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-01,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-02,US1VTCH0006,44.427691,-73.150152,5.8
2010-05-03,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-04,US1VTCH0006,44.427691,-73.150152,9.1
2010-05-05,US1VTCH0006,44.427691,-73.150152,9.1
2010-05-06,US1VTCH0006,44.427691,-73.150152,6.6
2010-05-07,US1VTCH0006,44.427691,-73.150152,2.8
2010-05-08,US1VTCH0006,44.427691,-73.150152,7.4
2010-05-09,US1VTCH0006,44.427691,-73.150152,1.0
2010-05-10,US1VTCH0006,44.427691,-73.150152,0.8
2010-05-11,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-13,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-14,US1VTCH0006,44.427691,-73.150152,3.8
2010-05-16,US1VTCH0006,44.427691,-73.150152,0.5
2010-05-17,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-18,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-19,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-20,US1VTCH0006,44.427691,-73.150152,1.0
2010-05-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-23,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-24,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-25,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-26,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-27,US1VTCH0006,44.427691,-73.150152,3.3
2010-05-28,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-29,US1VTCH0006,44.427691,-73.150152,0.0
2010-05-30,US1VTCH0006,44.427691,-73.150152,1.0
2010-05-31,US1VTCH0006,44.427691,-73.150152,0.0
2010-06-01,US1VTCH0006,44.427691,-73.150152,1.0
2010-06-02,US1VTCH0006,44.427691,-73.150152,14.2
2010-06-03,US1VTCH0006,44.427691,-73.150152,3.8
2010-06-14,US1VTCH0006,44.427691,-73.150152,
2010-06-15,US1VTCH0006,44.427691,-73.150152,0.0
2010-06-17,US1VTCH0006,44.427691,-73.150152,5.6
2010-06-18,US1VTCH0006,44.427691,-73.150152,0.0
2010-06-20,US1VTCH0006,44.427691,-73.150152,1.5
2010-06-21,US1VTCH0006,44.427691,-73.150152,1.3
2010-06-22,US1VTCH0006,44.427691,-73.150152,0.3
2010-06-23,US1VTCH0006,44.427691,-73.150152,5.8
2010-06-24,US1VTCH0006,44.427691,-73.150152,2.5
2010-06-25,US1VTCH0006,44.427691,-73.150152,23.9
2010-06-27,US1VTCH0006,44.427691,-73.150152,1.3
2010-06-28,US1VTCH0006,44.427691,-73.150152,16.8
2010-06-29,US1VTCH0006,44.427691,-73.150152,1.5
2010-06-30,US1VTCH0006,44.427691,-73.150152,0.3
2010-07-01,US1VTCH0006,44.427691,-73.150152,0.0
2010-07-02,US1VTCH0006,44.427691,-73.150152,6.1
2010-07-19,US1VTCH0006,44.427691,-73.150152,0.0
2010-07-20,US1VTCH0006,44.427691,-73.150152,8.6
2010-07-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-07-22,US1VTCH0006,44.427691,-73.150152,6.1
2010-07-23,US1VTCH0006,44.427691,-73.150152,0.0
2010-07-24,US1VTCH0006,44.427691,-73.150152,0.5
2010-07-26,US1VTCH0006,44.427691,-73.150152,0.0
2010-07-28,US1VTCH0006,44.427691,-73.150152,0.0
2010-07-30,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-01,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-02,US1VTCH0006,44.427691,-73.150152,3.8
2010-08-03,US1VTCH0006,44.427691,-73.150152,16.5
2010-08-04,US1VTCH0006,44.427691,-73.150152,16.8
2010-08-05,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-06,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-08,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-09,US1VTCH0006,44.427691,-73.150152,7.1
2010-08-10,US1VTCH0006,44.427691,-73.150152,16.5
2010-08-11,US1VTCH0006,44.427691,-73.150152,1.5
2010-08-15,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-16,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-17,US1VTCH0006,44.427691,-73.150152,0.8
2010-08-18,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-19,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-20,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-22,US1VTCH0006,44.427691,-73.150152,7.4
2010-08-23,US1VTCH0006,44.427691,-73.150152,22.6
2010-08-24,US1VTCH0006,44.427691,-73.150152,3.0
2010-08-25,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-26,US1VTCH0006,44.427691,-73.150152,1.8
2010-08-29,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-30,US1VTCH0006,44.427691,-73.150152,0.0
2010-08-31,US1VTCH0006,44.427691,-73.150152,0.0
2010-09-04,US1VTCH0006,44.427691,-73.150152,0.8
2010-09-07,US1VTCH0006,44.427691,-73.150152,0.0
2010-09-08,US1VTCH0006,44.427691,-73.150152,7.1
2010-09-09,US1VTCH0006,44.427691,-73.150152,3.3
2010-09-10,US1VTCH0006,44.427691,-73.150152,8.6
2010-09-13,US1VTCH0006,44.427691,-73.150152,1.3
2010-09-14,US1VTCH0006,44.427691,-73.150152,0.5
2010-09-15,US1VTCH0006,44.427691,-73.150152,3.3
2010-09-16,US1VTCH0006,44.427691,-73.150152,0.5
2010-09-21,US1VTCH0006,44.427691,-73.150152,21.3
2010-09-22,US1VTCH0006,44.427691,-73.150152,0.0
2010-09-23,US1VTCH0006,44.427691,-73.150152,0.5
2010-10-05,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-06,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-07,US1VTCH0006,44.427691,-73.150152,19.3
2010-10-08,US1VTCH0006,44.427691,-73.150152,6.1
2010-10-09,US1VTCH0006,44.427691,-73.150152,5.3
2010-10-10,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-11,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-12,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-13,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-14,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-15,US1VTCH0006,44.427691,-73.150152,10.7
2010-10-16,US1VTCH0006,44.427691,-73.150152,57.9
2010-10-18,US1VTCH0006,44.427691,-73.150152,4.8
2010-10-19,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-20,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-22,US1VTCH0006,44.427691,-73.150152,8.4
2010-10-23,US1VTCH0006,44.427691,-73.150152,0.5
2010-10-24,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-25,US1VTCH0006,44.427691,-73.150152,7.4
2010-10-26,US1VTCH0006,44.427691,-73.150152,2.8
2010-10-27,US1VTCH0006,44.427691,-73.150152,5.3
2010-10-28,US1VTCH0006,44.427691,-73.150152,0.0
2010-10-29,US1VTCH0006,44.427691,-73.150152,1.0
2010-10-30,US1VTCH0006,44.427691,-73.150152,3.8
2010-10-31,US1VTCH0006,44.427691,-73.150152,6.6
2010-11-02,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-03,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-04,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-05,US1VTCH0006,44.427691,-73.150152,22.1
2010-11-07,US1VTCH0006,44.427691,-73.150152,1.8
2010-11-08,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-09,US1VTCH0006,44.427691,-73.150152,20.1
2010-11-10,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-12,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-13,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-14,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-17,US1VTCH0006,44.427691,-73.150152,6.6
2010-11-18,US1VTCH0006,44.427691,-73.150152,1.3
2010-11-19,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-20,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-23,US1VTCH0006,44.427691,-73.150152,3.0
2010-11-24,US1VTCH0006,44.427691,-73.150152,3.3
2010-11-25,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-26,US1VTCH0006,44.427691,-73.150152,2.3
2010-11-27,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-28,US1VTCH0006,44.427691,-73.150152,0.0
2010-11-29,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-01,US1VTCH0006,44.427691,-73.150152,14.2
2010-12-02,US1VTCH0006,44.427691,-73.150152,17.8
2010-12-03,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-05,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-13,US1VTCH0006,44.427691,-73.150152,29.2
2010-12-14,US1VTCH0006,44.427691,-73.150152,2.3
2010-12-15,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-17,US1VTCH0006,44.427691,-73.150152,0.5
2010-12-18,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-19,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-21,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-22,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-23,US1VTCH0006,44.427691,-73.150152,12.7
2010-12-24,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-25,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-26,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-28,US1VTCH0006,44.427691,-73.150152,
2010-12-29,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-30,US1VTCH0006,44.427691,-73.150152,0.0
2010-12-31,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-01,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-02,US1VTCH0006,44.427691,-73.150152,4.6
2011-01-03,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-06,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-07,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-08,US1VTCH0006,44.427691,-73.150152,3.0
2011-01-09,US1VTCH0006,44.427691,-73.150152,2.5
2011-01-10,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-11,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-12,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-22,US1VTCH0006,44.427691,-73.150152,5.1
2011-01-23,US1VTCH0006,44.427691,-73.150152,0.3
2011-01-24,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-25,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-26,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-27,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-28,US1VTCH0006,44.427691,-73.150152,0.0
2011-01-29,US1VTCH0006,44.427691,-73.150152,0.3
2011-01-30,US1VTCH0006,44.427691,-73.150152,0.8
